,Index,incident_number,crime,occurred_on,month,intersection,city,state,geometry,location,time,day_of_week,moon_phaseid,moon_phase
0,13017,1725109001,Theft From Motor Vehicle,9/8/17,Sep,2000 OVERVIEW DR NE,  TACOMA,   WA,-122.416841  47.309856,"47.309856, -122.416841",0:00,Friday,0,0
1,12989,1719009006,Theft From Motor Vehicle,7/8/17,Jul,5900 N WATERFRONT DR,  TACOMA,   WA,-122.515245  47.305941,"47.305941, -122.515245",14:00,Saturday,3,Full Moon
2,13270,1704209017,Theft From Motor Vehicle,2/11/17,Feb,5900 N WATERFRONT DR,  TACOMA,   WA,-122.515245  47.305941,"47.305941, -122.515245",9:00,Saturday,0,0
3,13336,1704609008,Theft From Motor Vehicle,2/8/17,Feb,5900 N WATERFRONT DR,  TACOMA,   WA,-122.515245  47.305941,"47.305941, -122.515245",10:00,Wednesday,0,0
4,13946,1722801517,Theft From Motor Vehicle,8/16/17,Aug,5900 N WATERFRONT DR,  TACOMA,   WA,-122.515245  47.305941,"47.305941, -122.515245",16:00,Wednesday,0,0
5,12741,1715209001,Theft From Motor Vehicle,5/26/17,May,5100 GREEN HILLS AV NE,  TACOMA,   WA,-122.42368  47.303811,"47.303811, -122.42368",13:00,Friday,0,0
6,14089,1732009007,Theft From Motor Vehicle,11/15/17,Nov,5100 GREEN HILLS AV NE,  TACOMA,   WA,-122.42368  47.303811,"47.303811, -122.42368",2:00,Wednesday,0,0
7,14090,1732009012,Theft From Motor Vehicle,11/15/17,Nov,5100 GREEN HILLS AV NE,  TACOMA,   WA,-122.42368  47.303811,"47.303811, -122.42368",21:00,Wednesday,0,0
8,13783,1732909018,Theft From Motor Vehicle,11/25/17,Nov,3200 MAPLEWOOD CIR NE,  TACOMA,   WA,-122.404758  47.30364,"47.30364, -122.404758",7:00,Saturday,0,0
9,12290,1707709002,Theft From Motor Vehicle,3/18/17,Mar,3100 52ND PL NE,  TACOMA,   WA,-122.405076  47.302954,"47.302954, -122.405076",3:00,Saturday,0,0
10,13404,1727009004,Theft From Motor Vehicle,9/22/17,Sep,1500 51ST ST NE,  TACOMA,   WA,-122.427739  47.302941,"47.302941, -122.427739",17:00,Friday,0,0
11,13322,1726209011,Theft From Motor Vehicle,9/17/17,Sep,1600 51ST ST NE,  TACOMA,   WA,-122.426815  47.302932,"47.302932, -122.426815",8:00,Sunday,0,0
12,13461,1727300993,Theft From Motor Vehicle,9/29/17,Sep,3400 52ND PL NE,  TACOMA,   WA,-122.401243  47.302926,"47.302926, -122.401243",0:00,Friday,0,0
13,12350,1708500771,Theft From Motor Vehicle,3/26/17,Mar,5700 N ANIMAL LOOP RD,  TACOMA,   WA,-122.523415  47.302234,"47.302234, -122.523415",9:00,Sunday,0,0
14,12446,1709800374,Theft From Motor Vehicle,3/31/17,Mar,5700 N ANIMAL LOOP RD,  TACOMA,   WA,-122.523415  47.302234,"47.302234, -122.523415",13:00,Friday,0,0
15,12714,1715002116,Theft From Motor Vehicle,5/30/17,May,5700 N ANIMAL LOOP RD,  TACOMA,   WA,-122.523415  47.302234,"47.302234, -122.523415",18:00,Tuesday,0,0
16,12958,1718702262,Theft From Motor Vehicle,7/6/17,Jul,5700 N ANIMAL LOOP RD,  TACOMA,   WA,-122.523415  47.302234,"47.302234, -122.523415",19:00,Thursday,0,0
17,13080,1720201277,Theft From Motor Vehicle,7/7/17,Jul,5700 N ANIMAL LOOP RD,  TACOMA,   WA,-122.523415  47.302234,"47.302234, -122.523415",11:00,Friday,0,0
18,13125,1720801181,Theft From Motor Vehicle,7/27/17,Jul,5700 N ANIMAL LOOP RD,  TACOMA,   WA,-122.523415  47.302234,"47.302234, -122.523415",11:00,Thursday,0,0
19,13751,1720301346,Theft From Motor Vehicle,7/22/17,Jul,5700 N ANIMAL LOOP RD,  TACOMA,   WA,-122.523415  47.302234,"47.302234, -122.523415",11:00,Saturday,0,0
20,12688,1714509009,Theft From Motor Vehicle,5/24/17,May,5500 FIVE MILE DR,  TACOMA,   WA,-122.524316  47.302051,"47.302051, -122.524316",6:00,Wednesday,0,0
21,13169,1721401603,Theft From Motor Vehicle,8/2/17,Aug,5500 FIVE MILE DR,  TACOMA,   WA,-122.524316  47.302051,"47.302051, -122.524316",15:00,Wednesday,0,0
22,12821,1716500379,Theft From Motor Vehicle,6/13/17,Jun,5400 N MILDRED ST,  TACOMA,   WA,-122.524442  47.301946,"47.301946, -122.524442",18:00,Tuesday,0,0
23,13846,1723301830,Theft From Motor Vehicle,8/21/17,Aug,5400 N MILDRED ST,  TACOMA,   WA,-122.524442  47.301946,"47.301946, -122.524442",19:00,Monday,1,New Moon
24,12234,1707009007,Theft From Motor Vehicle,3/10/17,Mar,5400 N PEARL ST,  TACOMA,   WA,-122.515693  47.301585,"47.301585, -122.515693",13:00,Friday,0,0
25,12462,1719409002,Theft From Motor Vehicle,7/11/17,Jul,5400 N PEARL ST,  TACOMA,   WA,-122.515693  47.301585,"47.301585, -122.515693",13:00,Tuesday,0,0
26,12520,1710909013,Theft From Motor Vehicle,4/19/17,Apr,5400 N PEARL ST,  TACOMA,   WA,-122.515693  47.301585,"47.301585, -122.515693",15:00,Wednesday,4,Last Quarter
